Jul - Jun reference period,FDV Flag,Offence Division,Offence Subdivision,Offence Count
2009,NO,E Justice procedures offences,E20 Breaches of orders,"10,144"
2008,YES,E Justice procedures offences,E20 Breaches of orders,"3,535"
2008,NO,E Justice procedures offences,E20 Breaches of orders,"9,802"
2017,YES,F Other offences,F10 Regulatory driving offences,1
2017,NO,F Other offences,F10 Regulatory driving offences,15
2016,NO,F Other offences,F10 Regulatory driving offences,18
2015,YES,F Other offences,F10 Regulatory driving offences,1
2015,NO,F Other offences,F10 Regulatory driving offences,29
2014,YES,F Other offences,F10 Regulatory driving offences,3
2014,NO,F Other offences,F10 Regulatory driving offences,24
2013,NO,F Other offences,F10 Regulatory driving offences,24
2012,YES,F Other offences,F10 Regulatory driving offences,4
2012,NO,F Other offences,F10 Regulatory driving offences,18
2011,YES,F Other offences,F10 Regulatory driving offences,1
2011,NO,F Other offences,F10 Regulatory driving offences,19
2010,NO,F Other offences,F10 Regulatory driving offences,26
2009,YES,F Other offences,F10 Regulatory driving offences,2
2009,NO,F Other offences,F10 Regulatory driving offences,48
2008,NO,F Other offences,F10 Regulatory driving offences,62
2017,YES,F Other offences,F20 Transport regulation offences,2
2017,NO,F Other offences,F20 Transport regulation offences,837
2016,YES,F Other offences,F20 Transport regulation offences,1
2016,NO,F Other offences,F20 Transport regulation offences,610
2015,YES,F Other offences,F20 Transport regulation offences,1
2015,NO,F Other offences,F20 Transport regulation offences,458
2014,YES,F Other offences,F20 Transport regulation offences,4
2014,NO,F Other offences,F20 Transport regulation offences,468
2013,YES,F Other offences,F20 Transport regulation offences,3
2013,NO,F Other offences,F20 Transport regulation offences,401
2012,NO,F Other offences,F20 Transport regulation offences,536
2011,NO,F Other offences,F20 Transport regulation offences,506
2010,NO,F Other offences,F20 Transport regulation offences,531
2009,NO,F Other offences,F20 Transport regulation offences,737
2008,NO,F Other offences,F20 Transport regulation offences,835
2017,YES,F Other offences,F30 Other government regulatory offences,20
2017,NO,F Other offences,F30 Other government regulatory offences,622
2016,YES,F Other offences,F30 Other government regulatory offences,11
2016,NO,F Other offences,F30 Other government regulatory offences,548
2015,YES,F Other offences,F30 Other government regulatory offences,13
2015,NO,F Other offences,F30 Other government regulatory offences,630
2014,YES,F Other offences,F30 Other government regulatory offences,9
2014,NO,F Other offences,F30 Other government regulatory offences,"1,070"
2013,YES,F Other offences,F30 Other government regulatory offences,9
2013,NO,F Other offences,F30 Other government regulatory offences,896
2012,YES,F Other offences,F30 Other government regulatory offences,3
2012,NO,F Other offences,F30 Other government regulatory offences,"1,024"
2011,YES,F Other offences,F30 Other government regulatory offences,1
2011,NO,F Other offences,F30 Other government regulatory offences,"1,322"
2010,NO,F Other offences,F30 Other government regulatory offences,"2,023"
2009,NO,F Other offences,F30 Other government regulatory offences,"2,234"
2008,YES,F Other offences,F30 Other government regulatory offences,3
2008,NO,F Other offences,F30 Other government regulatory offences,"2,309"
2017,YES,F Other offences,F90 Miscellaneous offences,43
2017,NO,F Other offences,F90 Miscellaneous offences,247
2016,YES,F Other offences,F90 Miscellaneous offences,31
2016,NO,F Other offences,F90 Miscellaneous offences,451
2015,YES,F Other offences,F90 Miscellaneous offences,39
2015,NO,F Other offences,F90 Miscellaneous offences,450
2014,YES,F Other offences,F90 Miscellaneous offences,41
2014,NO,F Other offences,F90 Miscellaneous offences,383
2013,YES,F Other offences,F90 Miscellaneous offences,24
2013,NO,F Other offences,F90 Miscellaneous offences,553
2012,YES,F Other offences,F90 Miscellaneous offences,42
2012,NO,F Other offences,F90 Miscellaneous offences,467
2011,YES,F Other offences,F90 Miscellaneous offences,14
2011,NO,F Other offences,F90 Miscellaneous offences,401
2010,YES,F Other offences,F90 Miscellaneous offences,11
2010,NO,F Other offences,F90 Miscellaneous offences,374
2009,YES,F Other offences,F90 Miscellaneous offences,10
2009,NO,F Other offences,F90 Miscellaneous offences,338
2008,YES,F Other offences,F90 Miscellaneous offences,16
2008,NO,F Other offences,F90 Miscellaneous offences,417
